Food_Code	FCID_Code
58302060	101050000
74302000	101050000
74303000	101050000
74303100	101050000
75102500	101050000
75132000	101050000
75208000	101050000
75208001	101050000
75208003	101050000
75208010	101050000
75208011	101050000
75208013	101050000
75208020	101050000
75208020	101050000
75208020	101050000
75208021	101050000
75208021	101050000
75208021	101050000
75208021	101050000
75208023	101050000
75208023	101050000
75208023	101050000
75208110	101050000
75208120	101050000
75208120	101050000
75405010	101050000
75405010	101050000
75500210	101050000
75601100	101050000
75649100	101050000
92203110	101050000
54350000	101050001
76403010	101050001
11220000	101052000
11220100	101052000
11220200	101052000
11310000	101052000
11340000	101052000
11425000	101052000
11426000	101052000
11427000	101052000
11459990	101052000
11460000	101052000
11460100	101052000
11460150	101052000
11460160	101052000
11460170	101052000
11460190	101052000
11460200	101052000
11460250	101052000
11460300	101052000
11460420	101052000
11460430	101052000
11460440	101052000
11461000	101052000
11461200	101052000
11461250	101052000
11461260	101052000
11461270	101052000
11461280	101052000
11511000	101052000
11511100	101052000
11511200	101052000
11511300	101052000
11511400	101052000
11512000	101052000
11512500	101052000
11512500	101052000
11512500	101052000
11512500	101052000
11512510	101052000
11531000	101052000
11531500	101052000
11541000	101052000
11541100	101052000
11541110	101052000
11541110	101052000
11541110	101052000
11541120	101052000
11541120	101052000
11541120	101052000
11541120	101052000
11541120	101052000
11541400	101052000
11541400	101052000
11551050	101052000
11551050	101052000
11551050	101052000
11551050	101052000
11551050	101052000
11551050	101052000
11551050	101052000
11551050	101052000
11551050	101052000
11552200	101052000
11553000	101052000
11553100	101052000
11561010	101052000
11561010	101052000
11611000	101052000
11612000	101052000
11612000	101052000
11612000	101052000
11612000	101052000
11612000	101052000
11621000	101052000
11623000	101052000
11631000	101052000
11641000	101052000
11641020	101052000
11830140	101052000
11830450	101052000
11830500	101052000
11830800	101052000
11830850	101052000
11830900	101052000
11830940	101052000
11830970	101052000
11836000	101052000
11836100	101052000
12120105	101052000
12120110	101052000
12140000	101052000
12140100	101052000
12140105	101052000
12140110	101052000
12210250	101052000
12210255	101052000
12210260	101052000
12210270	101052000
12210410	101052000
12210430	101052000
12210440	101052000
12210500	101052000
12210505	101052000
12220000	101052000
12220100	101052000
12220200	101052000
